ID Value,ID Type,Marketplace ID,Is FBA?,Currency Code,Listing Price,Shipping Price
B085J1F1WF,ASIN,ATVPDKIKX0DER,FALSE,USD,4499.99,0
B085J1C25H,ASIN,ATVPDKIKX0DER,FALSE,USD,4499.99,0
B0CP6BY19L,ASIN,ATVPDKIKX0DER,FALSE,USD,4499.99,124.99
B0CP6B2SFW,ASIN,ATVPDKIKX0DER,FALSE,USD,4499.99,124.99
B085J1WQWC,ASIN,ATVPDKIKX0DER,FALSE,USD,4999.99,124.99
B085J2CP53,ASIN,ATVPDKIKX0DER,FALSE,USD,4999.99,124.99
B0CP6B7WF5,ASIN,ATVPDKIKX0DER,FALSE,USD,4999.99,124.99
B0CPFYCQYP,ASIN,ATVPDKIKX0DER,FALSE,USD,5999.99,124.99
B0CPGB4CQG,ASIN,ATVPDKIKX0DER,FALSE,USD,5999.99,124.99
B0CPGDT6P9,ASIN,ATVPDKIKX0DER,FALSE,USD,5999.99,124.99
B085JKC34J,ASIN,ATVPDKIKX0DER,FALSE,USD,2899.99,124.99
B085JK7D4M,ASIN,ATVPDKIKX0DER,FALSE,USD,2899.99,124.99
B0CLV1Y2RX,ASIN,ATVPDKIKX0DER,FALSE,USD,2899.99,124.99
B085JKC34X,ASIN,ATVPDKIKX0DER,FALSE,USD,2599.99,124.99
B085JJZQ31,ASIN,ATVPDKIKX0DER,FALSE,USD,2599.99,124.99
B0CLV12DWT,ASIN,ATVPDKIKX0DER,FALSE,USD,2599.99,124.99
B0CLTZ5HCG,ASIN,ATVPDKIKX0DER,FALSE,USD,2599.99,124.99
B085JKC9JM,ASIN,ATVPDKIKX0DER,FALSE,USD,2599.99,124.99
B085JKB187,ASIN,ATVPDKIKX0DER,FALSE,USD,2599.99,124.99
B0CLTZR9DJ,ASIN,ATVPDKIKX0DER,FALSE,USD,2599.99,124.99
B085K32J4R,ASIN,ATVPDKIKX0DER,FALSE,USD,2999.99,124.99
B085JQXWCM,ASIN,ATVPDKIKX0DER,FALSE,USD,2999.99,124.99
B0CLTZ35RL,ASIN,ATVPDKIKX0DER,FALSE,USD,2999.99,124.99
B0754QLFSK,ASIN,ATVPDKIKX0DER,FALSE,USD,1199.99,449
B0755456TR,ASIN,ATVPDKIKX0DER,FALSE,USD,1299.99,449
B07MKSGF6H,ASIN,ATVPDKIKX0DER,FALSE,USD,1299.99,449
B0755M3VTB,ASIN,ATVPDKIKX0DER,FALSE,USD,999.99,449
B0755MMTT9,ASIN,ATVPDKIKX0DER,FALSE,USD,999.99,449
B07ZHFZXRS,ASIN,ATVPDKIKX0DER,FALSE,USD,999.99,449
B075517K38,ASIN,ATVPDKIKX0DER,FALSE,USD,1099.99,449
B07YYNB94J,ASIN,ATVPDKIKX0DER,FALSE,USD,27,0
B0186EUT8E,ASIN,ATVPDKIKX0DER,FALSE,USD,15.99,0
B07P3M4Y9J,ASIN,ATVPDKIKX0DER,FALSE,USD,43.99,0
B018REHMI8,ASIN,ATVPDKIKX0DER,FALSE,USD,17.99,0
B071LBV2BT,ASIN,ATVPDKIKX0DER,FALSE,USD,13.99,0
B076G3CQKH,ASIN,ATVPDKIKX0DER,FALSE,USD,159.99,0
B09J9YF8T1,ASIN,ATVPDKIKX0DER,FALSE,USD,48.99,0
B09JBB6QPF,ASIN,ATVPDKIKX0DER,FALSE,USD,48.99,0
B0CCF3VG5X,ASIN,ATVPDKIKX0DER,FALSE,USD,134,0
B0CCF18M17,ASIN,ATVPDKIKX0DER,FALSE,USD,134,0
B0CCF3V5JR,ASIN,ATVPDKIKX0DER,FALSE,USD,134,0
B00QMSTZRI,ASIN,ATVPDKIKX0DER,FALSE,USD,68.99,9.99
B00G3848EC,ASIN,ATVPDKIKX0DER,FALSE,USD,27,0
B0CC6QBLWW,ASIN,ATVPDKIKX0DER,FALSE,USD,624.99,0
B08PL7XJTB,ASIN,ATVPDKIKX0DER,FALSE,USD,69.95,0
B0CB1SZN6C,ASIN,ATVPDKIKX0DER,FALSE,USD,199.95,0
B0BN4MFZ9R,ASIN,ATVPDKIKX0DER,FALSE,USD,149.94,0
B0BP2VN23C,ASIN,ATVPDKIKX0DER,FALSE,USD,179.95,0
B09L8MQVHQ,ASIN,ATVPDKIKX0DER,FALSE,USD,69.96,0
B09L8LD7C6,ASIN,ATVPDKIKX0DER,FALSE,USD,69.99,0
B09L8ND6N4,ASIN,ATVPDKIKX0DER,FALSE,USD,49.95,0
B0B2FJNYMR,ASIN,ATVPDKIKX0DER,FALSE,USD,24.94,0
B0BN4NLLZS,ASIN,ATVPDKIKX0DER,FALSE,USD,329.95,0
B0BN4KK4VL,ASIN,ATVPDKIKX0DER,FALSE,USD,329.95,0
B0BN4N1DJS,ASIN,ATVPDKIKX0DER,FALSE,USD,79.94,0
B0BN4NVXR4,ASIN,ATVPDKIKX0DER,FALSE,USD,79.99,0
B0CCF658HN,ASIN,ATVPDKIKX0DER,FALSE,USD,579.99,0
B08LMW76C6,ASIN,ATVPDKIKX0DER,FALSE,USD,950,0
B08LMN9QF5,ASIN,ATVPDKIKX0DER,FALSE,USD,449.99,0
B08LMMXTZW,ASIN,ATVPDKIKX0DER,FALSE,USD,495,0
B08LN2GZ92,ASIN,ATVPDKIKX0DER,FALSE,USD,550,0
B08DDD1RS1,ASIN,ATVPDKIKX0DER,FALSE,USD,225.95,0
B09LHW48ST,ASIN,ATVPDKIKX0DER,FALSE,USD,99.94,0
B09LHVZ44K,ASIN,ATVPDKIKX0DER,FALSE,USD,159.94,0
B09LHVTPVX,ASIN,ATVPDKIKX0DER,FALSE,USD,235.95,0
B0C1ZSGD1N,ASIN,ATVPDKIKX0DER,FALSE,USD,849.99,0
B0C1ZRLD8P,ASIN,ATVPDKIKX0DER,FALSE,USD,949.99,0
B0BLTC4YCM,ASIN,ATVPDKIKX0DER,FALSE,USD,419.94,0
B0BLTCP8HM,ASIN,ATVPDKIKX0DER,FALSE,USD,429.94,0
B0BLTC4SWT,ASIN,ATVPDKIKX0DER,FALSE,USD,439.94,0
B0BLT8PYJ6,ASIN,ATVPDKIKX0DER,FALSE,USD,449.94,0
B0BLTD73R2,ASIN,ATVPDKIKX0DER,FALSE,USD,459.94,0
B0BLTCDJ26,ASIN,ATVPDKIKX0DER,FALSE,USD,469.94,0
B0C1ZRYPT5,ASIN,ATVPDKIKX0DER,FALSE,USD,749.99,0
B0B25TW9LC,ASIN,ATVPDKIKX0DER,FALSE,USD,94.99,0
B0B25TW9LC,ASIN,ATVPDKIKX0DER,TRUE,USD,94.99,0
B0B324KKRR,ASIN,ATVPDKIKX0DER,FALSE,USD,94.99,0
B0B324KKRR,ASIN,ATVPDKIKX0DER,TRUE,USD,94.99,0
B0B25RLDDV,ASIN,ATVPDKIKX0DER,FALSE,USD,79.99,0
B0B25RLDDV,ASIN,ATVPDKIKX0DER,TRUE,USD,79.99,0
B0B32Z7BGH,ASIN,ATVPDKIKX0DER,FALSE,USD,49.99,0
B0B32Z7BGH,ASIN,ATVPDKIKX0DER,TRUE,USD,49.99,0
B0B326WJ83,ASIN,ATVPDKIKX0DER,FALSE,USD,34.99,0
B0B326WJ83,ASIN,ATVPDKIKX0DER,TRUE,USD,34.99,0
B0B327TDB2,ASIN,ATVPDKIKX0DER,FALSE,USD,34.99,0
B0B327TDB2,ASIN,ATVPDKIKX0DER,TRUE,USD,34.99,0
B09PQHPBM3,ASIN,ATVPDKIKX0DER,FALSE,USD,49.65,0
B0BYRB9HMK,ASIN,ATVPDKIKX0DER,FALSE,USD,3299,124.99
B07XD33VKK,ASIN,ATVPDKIKX0DER,FALSE,USD,127,0
B07XF5J5QR,ASIN,ATVPDKIKX0DER,FALSE,USD,127,0
B07XB1ZJC1,ASIN,ATVPDKIKX0DER,FALSE,USD,127,0
B07XC1ZTNY,ASIN,ATVPDKIKX0DER,FALSE,USD,127.94,0
B082MR2533,ASIN,ATVPDKIKX0DER,FALSE,USD,127.94,0
B07XF4Z8DP,ASIN,ATVPDKIKX0DER,FALSE,USD,127,0
B082MQWRJ9,ASIN,ATVPDKIKX0DER,FALSE,USD,127.94,0
B07XB1C2ZK,ASIN,ATVPDKIKX0DER,FALSE,USD,127,0
B07XB1XZV7,ASIN,ATVPDKIKX0DER,FALSE,USD,127.94,0
B082MR3KP9,ASIN,ATVPDKIKX0DER,FALSE,USD,94,0
B07M962LWS,ASIN,ATVPDKIKX0DER,FALSE,USD,169,0
B07M5HTH5N,ASIN,ATVPDKIKX0DER,FALSE,USD,169.94,0
B07M5HTGJV,ASIN,ATVPDKIKX0DER,FALSE,USD,169.94,0
B00063RH0C,ASIN,ATVPDKIKX0DER,FALSE,USD,64,0
B00030A1N8,ASIN,ATVPDKIKX0DER,FALSE,USD,64.94,0
B00030A1NI,ASIN,ATVPDKIKX0DER,FALSE,USD,64.99,0
B003OJQM9M,ASIN,ATVPDKIKX0DER,FALSE,USD,64,0
B003F0YK9O,ASIN,ATVPDKIKX0DER,FALSE,USD,69.9,0
B003F0SU72,ASIN,ATVPDKIKX0DER,FALSE,USD,69.94,0
B079V1J9J8,ASIN,ATVPDKIKX0DER,FALSE,USD,89.94,0
B079VV4MYL,ASIN,ATVPDKIKX0DER,FALSE,USD,104.95,0
B079VS71YD,ASIN,ATVPDKIKX0DER,FALSE,USD,104.95,0
B079V3BP91,ASIN,ATVPDKIKX0DER,FALSE,USD,65.95,0
B079V6M5SY,ASIN,ATVPDKIKX0DER,FALSE,USD,55.95,0
B001NZK2KO,ASIN,ATVPDKIKX0DER,FALSE,USD,69.94,0
B003F0UZ7A,ASIN,ATVPDKIKX0DER,FALSE,USD,64,0
