"ID Value","ID Type","Is FBA?","Listing Price","Listing Price Currency Code","Shipping Price","Shipping Price Currency Code","Total Fees","Total Fees Currency Code"
B085JJZQ31,ASIN,,2599.99,USD,124.99,USD,408.75,USD
B0CLV12DWT,ASIN,,2599.99,USD,124.99,USD,408.75,USD
B0CLTZ5HCG,ASIN,,2599.99,USD,124.99,USD,408.75,USD
B085JKC9JM,ASIN,,2599.99,USD,124.99,USD,408.75,USD
B085JKB187,ASIN,,2599.99,USD,124.99,USD,408.75,USD
B0CLTZR9DJ,ASIN,,2599.99,USD,124.99,USD,408.75,USD
B085K32J4R,ASIN,,2999.99,USD,124.99,USD,468.75,USD
B085JQXWCM,ASIN,,2999.99,USD,124.99,USD,468.75,USD
B0CLTZ35RL,ASIN,,2999.99,USD,124.99,USD,468.75,USD
B0754QLFSK,ASIN,,1199.99,USD,449,USD,247.35,USD
B0755456TR,ASIN,,1299.99,USD,449,USD,262.35,USD
B07MKSGF6H,ASIN,,1299.99,USD,449,USD,262.35,USD
B0755M3VTB,ASIN,,999.99,USD,449,USD,217.35,USD
B0755MMTT9,ASIN,,999.99,USD,449,USD,217.35,USD
B07ZHFZXRS,ASIN,,999.99,USD,449,USD,217.35,USD
B075517K38,ASIN,,1099.99,USD,449,USD,232.35,USD
B07YYNB94J,ASIN,,27,USD,0,USD,4.05,USD
B0186EUT8E,ASIN,,15.99,USD,0,USD,1.92,USD
B07P3M4Y9J,ASIN,,43.99,USD,0,USD,3.52,USD
B018REHMI8,ASIN,,17.99,USD,0,USD,2.7,USD
B071LBV2BT,ASIN,,13.99,USD,0,USD,2.1,USD
B076G3CQKH,ASIN,,159.99,USD,0,USD,24,USD
B09J9YF8T1,ASIN,,48.99,USD,0,USD,3.92,USD
B09JBB6QPF,ASIN,,48.99,USD,0,USD,3.92,USD
B0CCF3VG5X,ASIN,,134,USD,0,USD,22.78,USD
B0CCF18M17,ASIN,,134,USD,0,USD,22.78,USD
B0CCF3V5JR,ASIN,,134,USD,0,USD,22.78,USD
B00QMSTZRI,ASIN,,68.99,USD,9.99,USD,11.85,USD
B00G3848EC,ASIN,,27,USD,0,USD,4.05,USD
B0CC6QBLWW,ASIN,,624.99,USD,0,USD,93.75,USD
B08PL7XJTB,ASIN,,69.95,USD,0,USD,11.89,USD
B0CB1SZN6C,ASIN,,199.95,USD,0,USD,29.99,USD
B0BN4MFZ9R,ASIN,,149.94,USD,0,USD,22.49,USD
B0BP2VN23C,ASIN,,179.95,USD,0,USD,26.99,USD
B09L8MQVHQ,ASIN,,69.96,USD,0,USD,11.89,USD
B09L8LD7C6,ASIN,,69.99,USD,0,USD,11.9,USD
B09L8ND6N4,ASIN,,49.95,USD,0,USD,8.49,USD
B0B2FJNYMR,ASIN,,24.94,USD,0,USD,3.74,USD
B0BN4NLLZS,ASIN,,329.95,USD,0,USD,49.49,USD
B0BN4KK4VL,ASIN,,329.95,USD,0,USD,49.49,USD
B0BN4N1DJS,ASIN,,79.94,USD,0,USD,13.59,USD
B0BN4NVXR4,ASIN,,79.99,USD,0,USD,13.6,USD
B0CCF658HN,ASIN,,579.99,USD,0,USD,87,USD
B08LMW76C6,ASIN,,950,USD,0,USD,142.5,USD
B08LMN9QF5,ASIN,,449.99,USD,0,USD,67.5,USD
B08LMMXTZW,ASIN,,495,USD,0,USD,74.25,USD
B08LN2GZ92,ASIN,,550,USD,0,USD,82.5,USD
B08DDD1RS1,ASIN,,225.95,USD,0,USD,33.89,USD
B09LHW48ST,ASIN,,99.94,USD,0,USD,14.99,USD
B09LHVZ44K,ASIN,,159.94,USD,0,USD,23.99,USD
B09LHVTPVX,ASIN,,235.95,USD,0,USD,35.39,USD
B0C1ZSGD1N,ASIN,,849.99,USD,0,USD,127.5,USD
B0C1ZRLD8P,ASIN,,949.99,USD,0,USD,142.5,USD
B0BLTC4YCM,ASIN,,419.94,USD,0,USD,62.99,USD
B0BLTCP8HM,ASIN,,429.94,USD,0,USD,64.49,USD
B0BLTC4SWT,ASIN,,439.94,USD,0,USD,65.99,USD
B0BLT8PYJ6,ASIN,,449.94,USD,0,USD,67.49,USD
B0BLTD73R2,ASIN,,459.94,USD,0,USD,68.99,USD
B0BLTCDJ26,ASIN,,469.94,USD,0,USD,70.49,USD
B0C1ZRYPT5,ASIN,,749.99,USD,0,USD,112.5,USD
