Shipment ID	FBA17X0JVJ0K
Name	FBA STA (04/07/2024 15:39)-DET2
Plan ID	
Ship To	DET2
Total SKUs	5
Total Units	40

Merchant SKU	Title	ASIN	FNSKU	external-id 	Condition	Who will prep?	Prep Type	Who will label?	Shipped
01.1332.9014	Old Town Canoes & Kayaks Solitude Men's Life Jacket (Red, L/XL)	B07F2KMBHP	B07F2KMBHP	UPC: 759239299241	New	No prep required	"--"	No prep required	4
01.1332.9015	Old Town Canoes & Kayaks Solitude Men's Life Jacket (Red, XXL/XXXL)	B07F7771X5	B07F7771X5	UPC: 759239299258	New	No prep required	"--"	No prep required	16
01.1332.9016	Old Town Solitude Women's Life Jacket (Grape, XS)	B07F2JR6B5	B07F2JR6B5	UPC: 759239299265	New	Merchant	No prep required	No prep required	4
01.1332.9019-FBA	Old Town Solitude Women's Life Jacket (Silver, XS)	B07F2LGL9N	B07F2LGL9N	UPC: 759239299296	New	No prep required	"--"	No prep required	8
01.1332.9020-FBA	Old Town Solitude Women's Life Jacket (Silver, S/M)	B07FB59RJL	B07FB59RJL	UPC: 759239299302	New	No prep required	"--"	No prep required	8
