Shipment ID	FBA17YHPQD3P
Name	FBA STA (04/20/2024 15:41)-ABE8
Plan ID	
Ship To	ABE8
Total SKUs	7
Total Units	224

Merchant SKU	Title	ASIN	FNSKU	external-id 	Condition	Who will prep?	Prep Type	Who will label?	Shipped
210000033923-FBA	Black Hall Outfitters Spare Prop Kit Compatible with Old Town Sportsman PDL, Old Town Topwater PDL, Old Town Predator PDL, and Ocean Kayak Malibu PDL Kayaks	B0B326WJ83	B0B326WJ83	UPC: 850041268040	New	Merchant	No prep required	No prep required	30
DTX220-S-HPM	Nomad Design DTX Minnow Patented Autotune System-Distressed Baitfish Swimming Action, Hydrospeed Belly Eyelet Faster Trolling, BKK Diablo 5X Singles 13/0 Hooks, 220 SNK 9, 50ft, Hot Pink Mackerel	B07XF3C25H	B07XF3C25H	EAN: 9351482017675	New	No prep required	"--"	No prep required	60
DTX220-S-SM	Nomad Design DTX Minnow with Patented Autotune System-Distressed Baitfish Swimming Action, Hydrospeed Belly Eyelet Faster Trolling, BKK Diablo 5X Singles 13/0 Hooks, 220 SNK 9, 50ft, Spanish Mackerel	B07X8RHBGV	B07X8RHBGV	EAN: 9351482017767	New	No prep required	"--"	No prep required	40
MADMACS200-SGM	Nomad Design Madmacs Offshore High Speed Fishing Lure, Trolling Minnow, with Super Strong BKK Hooks and Heavy Duty Split Rings, Autotune System, 200mm/8 Sinking - Silver Green Mackerel	B07X13BV65	B07X13BV65	EAN: 9351482017552	New	Merchant	No prep required	No prep required	23
MADMACS200-SM	Nomad Design Madmacs Offshore High Speed Fishing Lure, Trolling Minnow, with Super Strong BKK Hooks and Heavy Duty Split Rings, Autotune System, 200mm/8 Sinking - Spanish Mackerel	B07X13CMX7	B07X13CMX7	EAN: 9351482017453	New	Merchant	No prep required	No prep required	7
MADMACS240-SAR	Nomad Design Madmacs Offshore High Speed Fishing Lure, Trolling Minnow, with Super Strong BKK Hooks and Heavy Duty Split Rings, Autotune System, 240mm/10 Sinking - Sardine	B07X13D9Q7	B07X13D9Q7	EAN: 9351482017538	New	Merchant	No prep required	No prep required	24
MADMACS240-SM	Nomad Design Madmacs Offshore High Speed Fishing Lure, Trolling Minnow, with Super Strong BKK Hooks and Heavy Duty Split Rings, Autotune System, 240mm/10 Sinking - Spanish Mackerel	B07X59L1R1	X0037KIGWF	EAN: 9351482017460	New	Merchant	No prep required	Merchant	40
