(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B084LMSJXZ,B084KXM3FV,"Carlisle Paddles Magic Mystic Kayak Paddle with Polypropylene Blades and Aluminum Shaft, 240cm - Photic",01.2509.4062-FBM,132,2,0.04%,0.04%,210,3,0.05%,0.04%,80.83%,0.00%,8,0,6.06%,0.00%,$617.55,$0.00,7,0
B094DSCL6Z,B094DSCL6Z,YakGear 01-9004-LG The Fish Stik - Lime Green,01-9004-LG,883,28,0.30%,0.51%,"1,214",38,0.29%,0.49%,14.83%,5.26%,7,0,0.79%,0.00%,$244.93,$0.00,7,0
B09BK2CDN7,B09BK19J4C,Shimano Inc. Sustain C3000HG FJ,SAC3000HGFJ,650,13,0.22%,0.24%,879,22,0.21%,0.28%,20.93%,54.55%,8,2,1.23%,15.38%,"$2,559.84",$639.96,7,2
B0B32Z7BGH,B0B32Z7BGH,Black Hall Outfitters Replacement Parts Kit Compatible with Old Town Sportsman Autopilot 120 Kayak and Old Town Sportsman Autopilot 136 Kayak,210000033922,542,11,0.18%,0.20%,796,15,0.19%,0.19%,98.24%,100.00%,7,0,1.29%,0.00%,$349.93,$0.00,7,0
B0CKY2PBV2,B0CD9YXX1Y,"Nomad Design Squidtrex Fishing Lure with Patent Pending Technology Vibration Design - TPE Soft Plastic, BKK Assist Hooks, Squid Lure- 150 Vibe 6"" - 4 3/4oz, Pink Tiger",SQDTREX150-PTGR,301,5,0.10%,0.09%,384,6,0.09%,0.08%,21.20%,0.00%,8,0,2.66%,0.00%,$164.38,$0.00,7,0
B019JB7LIO,B000PH6UJI,Shimano Calcutta 400B; Round Freshwater Fishing Reel,CT400B,443,13,0.15%,0.24%,641,30,0.15%,0.39%,45.94%,36.67%,6,0,1.35%,0.00%,"$1,559.94",$0.00,6,0
B084LMGV9P,B001AI69KQ,"Carlisle Paddle Gear Magic Plus Kayak Paddle (Sunrise, 230 cm)",01.2509.3665-FBA,447,5,0.15%,0.09%,623,5,0.15%,0.06%,80.34%,50.00%,6,0,1.34%,0.00%,$749.91,$0.00,6,0
B001NZPX9E,B001NZPX9E,Eastaboga Tackle BogaGrip - 60 lb.,BG260,807,6,0.27%,0.11%,"1,038",8,0.25%,0.10%,9.63%,12.50%,6,0,0.74%,0.00%,"$1,680.99",$0.00,6,0
B00BPWM2KI,B00BPWM2KI,"Carlisle Magic Plus Kayak Paddle with Polypropylene Blades and Wrapped Fiberglass Shaft,Black Cherry, 240cm",01.2509.3910-FBA,107,7,0.04%,0.13%,147,12,0.04%,0.16%,83.67%,58.33%,6,1,5.61%,14.29%,$654.14,$114.07,6,1
B0110HRYV4,B0110HRYV4,"Tsunami Airwave Elite 2pc Saltwater Striper Surf SPINNING Rod 8'8"" TSAWESS-882M",TSAWESS-882M,604,6,0.20%,0.11%,834,8,0.20%,0.10%,37.17%,25.00%,6,0,0.99%,0.00%,"$1,139.64",$0.00,6,0
B07KSTGLPK,B013VO82HO,"Redington Behemoth Fly Fishing Reel, Multipurpose Fly Reel for Freshwater and Saltwater, Large Arbor and Adjustable Drag, Black, 7/8",5-5506R78B,826,18,0.28%,0.33%,"1,017",22,0.25%,0.28%,11.86%,18.75%,6,0,0.73%,0.00%,$764.94,$0.00,6,0
B01N967JUG,B01JH8FHFI,"Daiwa BG5000 BG Saltwater Spinning Reel, 5000, 5.7: 1 Gear Ratio, 6+1 Bearings, 47.40"" Retrieve Rate, 22 lb Max Drag,Black/Gold",BG5000,"6,554",83,2.20%,1.50%,"8,394",122,2.03%,1.58%,2.70%,1.02%,6,0,0.09%,0.00%,$894.99,$0.00,6,0
B01NCP4X7O,B01NCP4X7O,Tsunami Shield 4000 Saltwater Sealed Surf Spinning Reel Braided: 20lb 200yd New,TSSHD4000,297,5,0.10%,0.09%,390,6,0.09%,0.08%,33.59%,16.67%,6,0,2.02%,0.00%,$599.94,$0.00,6,0
B08NBD8J7Z,B07F2L8JZH,"Old Town Solitude Men's Life Jacket (Black, S/M)",01.1332.9010-FBM,173,2,0.06%,0.04%,312,4,0.08%,0.05%,98.62%,100.00%,7,0,4.05%,0.00%,$610.23,$0.00,6,0
B07WDYZCGP,B07WDYZCGP,"SHIMANO Terez TZS72XH Saltwater Spinning Rod, 7'2"". X-Heavy Action",TZS72XH,967,24,0.32%,0.43%,"1,278",38,0.31%,0.49%,21.36%,50.00%,6,0,0.62%,0.00%,"$1,799.90",$0.00,6,0
B084LM6MRV,B084KQFSYL,"Carlisle Paddles Magic Angler Kayak Paddle with Polypropylene Blades and Wrapped Fiberglass Shaft, 240cm - Photic",01.2509.4079-FBM,516,9,0.17%,0.16%,664,11,0.16%,0.14%,93.42%,87.50%,6,0,1.16%,0.00%,$642.63,$0.00,6,0
B08DJ88Y4D,B08DJ9H1HF,Shimano Inc. SARAGOSA SW A 14000XG,SRG14000SWAXG,"2,013",35,0.68%,0.63%,"2,571",39,0.62%,0.50%,12.32%,31.43%,8,2,0.40%,5.71%,"$2,479.92",$619.98,6,1
B09R9B2S2J,B09R9B2S2J,"Old Town Treble Angler Sportsman Personal Flotation Device, One Size, Silver",01.1332.9053,250,1,0.08%,0.02%,336,1,0.08%,0.01%,97.32%,100.00%,6,0,2.40%,0.00%,$569.90,$0.00,6,0
B01N967JUG,B01JH8FHIK,"Daiwa BG4000 BG Saltwater Spinning Reel, 4000, 5.7: 1 Gear Ratio, 6+1 Bearings, 39.90"" Retrieve Rate, 17.60 lb Max Drag, black/gold",BG4000,"6,260",89,2.10%,1.61%,"8,137",117,1.97%,1.51%,0.71%,0.00%,5,0,0.08%,0.00%,$695.00,$0.00,5,0
B07PYCV1VH,B07BRYQ52B,"Old Town Canoes & Kayaks Lure Angler Men's Life Jacket (Gray, XXL/XXXL)",NB-E297-CJEO,537,3,0.18%,0.05%,734,7,0.18%,0.09%,92.88%,100.00%,5,0,0.93%,0.00%,$651.75,$0.00,5,0
B08N9KSDVW,B07FB59RJL,"Old Town Solitude Women's Life Jacket (Silver, S/M)",01.1332.9020-FBM,106,1,0.04%,0.02%,146,1,0.04%,0.01%,86.51%,0.00%,6,0,5.66%,0.00%,$523.87,$0.00,5,0
B07H1TVHT2,B07H1TVHT2,YakAttack LockNLoad Track Base (LNL-1001),LNL-1001,44,1,0.01%,0.02%,65,3,0.02%,0.04%,50.77%,0.00%,6,0,13.64%,0.00%,$71.70,$0.00,5,0
B07QS5164X,B07QS5164X,Tsunami Carbon Shield II TSCSHDII701M Spinning Rod,TSCSHDII701M,840,10,0.28%,0.18%,"1,100",13,0.27%,0.17%,33.00%,30.77%,5,0,0.60%,0.00%,$599.70,$0.00,5,0
B09RKQGKJM,B07XF31VJP,"Nomad Design DTX Minnow with Patented Autotune System - Distressed Baitfish Swimming Action, Hydrospeed Belly Eyelet for Faster Trolling, BKK Diablo 5X Singles 13/0 Hooks, 220 SNK 9, 50ft, Sardine",DTX220-SAR,229,5,0.08%,0.09%,271,6,0.07%,0.08%,60.20%,0.00%,7,0,3.06%,0.00%,$335.30,$0.00,5,0
B081B9QFHX,B081B9QFHX,Universal Mounting Plate (FFP-1007),FFP-1007-U,489,11,0.16%,0.20%,635,14,0.15%,0.18%,0.00%,0.00%,5,0,1.02%,0.00%,$125.00,$0.00,5,0
B083CQ75JY,B083CQ75JY,YakAttack Boomstick Pro Camera Mount (CMS-1003),CMS-1003-U,"2,081",43,0.70%,0.78%,"5,350",68,1.29%,0.88%,0.00%,0.00%,5,0,0.24%,0.00%,$374.75,$0.00,5,0
B084L4X7BK,B084L4YRNS,"Nomad Design Madmacs Offshore High Speed Fishing Lure, Trolling Minnow, with Super Strong BKK Hooks and Heavy Duty Split Rings, Autotune System, 240mm/10 Sinking - Phantom",MADMACS240-PHT,335,5,0.11%,0.09%,411,5,0.10%,0.06%,20.78%,0.00%,5,0,1.49%,0.00%,$257.47,$0.00,5,0
B0869XTNS2,B085JKC34X,Old Town Sportsman PDL 106 Pedal Fishing Kayak (Photic Camo),01.4072.0101,"2,643",41,0.89%,0.74%,"3,525",44,0.85%,0.57%,62.12%,58.82%,5,0,0.19%,0.00%,"$12,999.95",$0.00,5,0
B0869Y5K4K,B085JKC9JM,Old Town Sportsman Salty PDL 120 Pedal Fishing Kayak (Photic Camo),01.4073.0101,"3,093",55,1.04%,0.99%,"3,956",70,0.96%,0.91%,72.85%,72.13%,5,0,0.16%,0.00%,"$12,999.95",$0.00,5,0
B08CY7PVC3,B08667BM1W,Shimano Inc. SPEEDMASTER II 25,SPM25II,837,22,0.28%,0.40%,"1,097",43,0.27%,0.56%,23.55%,30.77%,6,0,0.72%,0.00%,"$2,214.00",$0.00,5,0
B08B54G5SM,B08H4K6CDM,"Redington Run Fly Reel, Lightweight Design for Trout, Freshwater Fishing, Carbon Fiber Drag System, Sand, 7/8 Weight",5-5512R7802,463,7,0.16%,0.13%,549,7,0.13%,0.09%,18.00%,33.33%,5,0,1.08%,0.00%,$581.98,$0.00,5,0
B08B54G5SM,B08KGY9JP7,"Redington Run Fly Reel, Lightweight Design for Trout, Freshwater Fishing, Carbon Fiber Drag System, Sand, 5/6 Weight",5-5512R5602,956,19,0.32%,0.34%,"1,284",28,0.31%,0.36%,12.52%,30.77%,5,0,0.52%,0.00%,$572.40,$0.00,5,0
B08XVX53KH,B08XVX53KH,Shimano Inc. TREVALA XXH CST B,TVC58XXHB,194,1,0.07%,0.02%,281,1,0.07%,0.01%,17.14%,0.00%,6,0,3.09%,0.00%,"$1,139.90",$0.00,5,0
B09BK2FF9W,B09BK2FF9W,SHIMANO SPHEROS SW A 6000HG SPHEROS,SPSW6000HGA,"1,918",33,0.64%,0.60%,"2,550",39,0.62%,0.50%,10.35%,28.21%,5,0,0.26%,0.00%,$774.47,$0.00,5,0
B09XVN64BQ,B09XJ7MD6D,"RIO Products Avid Trout Series - Gold, Floating Fly Line for Trout, WF3F",6-19695,724,6,0.24%,0.11%,918,8,0.22%,0.10%,10.19%,20.00%,5,0,0.69%,0.00%,$327.31,$0.00,5,0
B09XVN64BQ,B09XJ8239C,"RIO Products Avid Trout Series - Gold, Floating Fly Line for Trout, WF6F",6-19698,348,7,0.12%,0.13%,430,10,0.10%,0.13%,7.69%,33.33%,5,1,1.44%,14.29%,$304.48,$54.99,5,1
B09XVN64BQ,B09XJ8MQN6,"RIO Products Avid Trout Series - Gold, Floating Fly Line for Trout, WF4F",6-19696,446,5,0.15%,0.09%,569,5,0.14%,0.06%,14.86%,0.00%,5,0,1.12%,0.00%,$335.54,$0.00,5,0
B004CG9RGQ,B004CG9RGQ,Hobie - Leash Kit - Miragedrive - 74052101,74052101,255,8,0.09%,0.14%,339,11,0.08%,0.14%,25.66%,9.09%,4,0,1.57%,0.00%,$167.96,$0.00,4,0
B00B2VJVFG,B00B2VJVFG,Redington Run Fly Reel 7-8 Weight,5-5512R7804,188,4,0.06%,0.07%,218,4,0.05%,0.05%,74.77%,75.00%,4,0,2.13%,0.00%,$479.96,$0.00,4,0
B019KP9H4K,B019KP9H4K,Van Staal VR150 Bailed Spinning Reel,VR150,"1,151",39,0.39%,0.71%,"1,603",52,0.39%,0.67%,26.78%,32.69%,6,0,0.52%,0.00%,"$3,354.00",$0.00,4,0
B01N9KLQX8,B01N9KLQX8,Tsunami Shield 3000 Saltwater Sealed Spinning Reel,TSSHD3000-SF,472,5,0.16%,0.09%,591,6,0.14%,0.08%,30.80%,50.00%,4,0,0.85%,0.00%,$399.96,$0.00,4,0
B06WWQ59SH,B06WWQ59SH,Shimano Inc. TRANX 400AHG B/C Reel Box,TRX400AHG,"1,208",26,0.41%,0.47%,"1,590",41,0.38%,0.53%,10.94%,12.20%,4,0,0.33%,0.00%,"$1,279.96",$0.00,4,0
B06X9G5RW4,B06X9G5RW4,Shimano Inc. TRANX 301AHG B/C LH Reel Box,TRX301AHG,436,3,0.15%,0.05%,571,3,0.14%,0.04%,24.34%,33.33%,4,0,0.92%,0.00%,"$1,199.92",$0.00,4,0
B074MJKXMT,B075QNP7NG,Cortland Line Ultra Premium Fluorocarbon 30YD Tippet | 6X - 3.9 lb | Clear,645363,91,2,0.03%,0.04%,114,2,0.03%,0.03%,43.33%,0.00%,5,0,5.49%,0.00%,$95.75,$0.00,4,0
B0798W51XJ,B0798W51XJ,Tsunami Trophy Slow Pitch Jigging Conventional 7' Rod 20-50lb TSSPJC-701XH,TSSPJC-701XH,413,12,0.14%,0.22%,617,12,0.15%,0.16%,11.83%,8.33%,4,0,0.97%,0.00%,$479.80,$0.00,4,0
B07B1YY9WV,B07B1YY9WV,Yak Attack Fish Finder Mount with LockNLoad - FFP-1002,FFP-1002-U,"1,271",16,0.43%,0.29%,"1,687",18,0.41%,0.23%,0.00%,0.00%,4,0,0.31%,0.00%,$124.00,$0.00,4,0
B07BKQBNH4,B07BKQBNH4,"Daiwa, Saltist Star Drag Saltwater Casting Reel, Size 15, 6.4:1 Gear Ratio, 5 Bearings, 39.50"" Retrieve Rate, Right Hand,Black,Blue",SALTIST15H,536,9,0.18%,0.16%,699,10,0.17%,0.13%,53.93%,50.00%,4,0,0.75%,0.00%,"$1,077.96",$0.00,4,0
B08NB4RRFQ,B07F2KMBHP,"Old Town Canoes & Kayaks Solitude Men's Life Jacket (Red, L/XL)",01.1332.9014,140,2,0.05%,0.04%,183,3,0.04%,0.04%,91.16%,100.00%,4,0,2.86%,0.00%,$391.28,$0.00,4,0
B084L4X7BK,B07X13DBY6,"Nomad Design Madmacs Offshore High Speed Fishing Lure, Trolling Minnow, with Super Strong BKK Hooks and Heavy Duty Split Rings, Autotune System, 240mm/10 Sinking - Nuclear Coral Trout",MADMACS240-NCT-FBA,376,9,0.13%,0.16%,430,10,0.10%,0.13%,41.04%,40.00%,4,0,1.06%,0.00%,$237.86,$0.00,4,0
B082L4WMP1,B082L4WMP1,Tsunami Carbon Shield II Spinning Rods - TSCSHDII761MH-B,TSCSHDII761MH-B,352,6,0.12%,0.11%,481,6,0.12%,0.08%,53.43%,33.33%,4,0,1.14%,0.00%,$389.82,$0.00,4,0
B084LMSJXZ,B084KNXH59,"Carlisle Paddles Magic Mystic Kayak Paddle with Polypropylene Blades and Aluminum Shaft, 240cm - Sunrise",01.2509.4060,130,3,0.04%,0.05%,177,5,0.04%,0.06%,16.08%,0.00%,4,0,3.08%,0.00%,$379.96,$0.00,4,0
B084LM6MRV,B084KTSY7T,"Carlisle Magic Angler Kayak Paddle with Polypropylene Blades and Wrapped Fiberglass Shaft, 230cm - Camo",01.2509.4070-FBA,296,3,0.10%,0.05%,360,3,0.09%,0.04%,22.40%,0.00%,4,0,1.35%,0.00%,$579.92,$0.00,4,0
B084LMSJXZ,B084KY965J,"Carlisle Paddles Magic Mystic Kayak Paddle with Polypropylene Blades and Aluminum Shaft, 240cm - Seaglass",01.2509.4064-FBM,294,5,0.10%,0.09%,415,5,0.10%,0.06%,90.91%,100.00%,4,0,1.36%,0.00%,$230.35,$0.00,4,0
B084LMSJXZ,B084KY965J,"Carlisle Paddles Magic Mystic Kayak Paddle with Polypropylene Blades and Aluminum Shaft, 240cm - Seaglass",01.2509.4064-FBA,294,5,0.10%,0.09%,415,5,0.10%,0.06%,90.91%,100.00%,4,0,1.36%,0.00%,$252.85,$0.00,4,0
B084LMSJXZ,B084KYW7XB,"Carlisle Paddles Magic Mystic Kayak Paddle with Polypropylene Blades and Aluminum Shaft, 220cm - Photic",01.2509.4032,40,0,0.01%,0.00%,53,0,0.01%,0.00%,92.86%,0.00%,4,0,10.00%,0.00%,$279.59,$0.00,4,0
B084R9LVV2,B084R9LVV2,Shimano Inc. OCEA Jigger 2000NR HG,OCEAJG2000NRHG,"1,203",21,0.40%,0.38%,"1,558",32,0.38%,0.41%,6.42%,21.88%,5,0,0.42%,0.00%,"$2,849.90",$0.00,4,0
B08B2TNS7S,B08B44MMD5,"Rio Premier Gold Fly Line, Easy to Cast Flies from Size 2 to 22, Ultimate All-Around Fly Line with Ultra-Slick Performance, Moss/Gold, 90ft, WF4F",6-19231,213,5,0.07%,0.09%,282,6,0.07%,0.08%,16.67%,0.00%,4,0,1.88%,0.00%,$354.96,$0.00,4,0
B08CY6JMDW,B08CY4FXG3,Shimano Inc. Stella SW 5000HG C,STLSW5000HGC,"1,617",30,0.54%,0.54%,"1,909",35,0.46%,0.45%,8.40%,24.14%,5,0,0.31%,0.00%,"$4,997.97",$0.00,4,0
B09X1Y62JF,B09X29S7LS,Cortland Striped Bass Blitz Fly Line WF9I/F,476301,25,0,0.01%,0.00%,31,0,0.01%,0.00%,38.10%,0.00%,4,0,16.00%,0.00%,$399.76,$0.00,4,0
B0B324KKRR,B0B324KKRR,Black Hall Outfitters Replacement Parts Kit Compatible with Old Town Sportsman Big Water PDL Kayak,210000033920-FBA,169,7,0.06%,0.13%,234,10,0.06%,0.13%,97.86%,100.00%,4,0,2.37%,0.00%,$379.96,$0.00,4,0
B0B8MLHDH6,B0B8MLHDH6,Daiwa SALTIST LW CVNL 4 (4 CRBB) + 1 6.1 : 1,STTLW30HB,214,3,0.07%,0.05%,303,3,0.07%,0.04%,53.14%,66.67%,4,0,1.87%,0.00%,$799.96,$0.00,4,0
B0CKY2PBV2,B0CDB1KY1N,"Nomad Design Squidtrex Fishing Lure with Patent Pending Technology Vibration Design - TPE Soft Plastic, BKK Assist Hooks, Squid Lure- 150 Vibe 6"" - 4 3/4oz, Orange Tiger",SQDTREX150-OTGR,220,9,0.07%,0.16%,273,9,0.07%,0.12%,12.81%,0.00%,5,0,2.27%,0.00%,$101.68,$0.00,4,0
B09T96QMNF,B0CLTZ35RL,Old Town Sportsman BigWater PDL 132 Pedal Fishing Kayak (Steel Camo),01.4074.0109,"1,451",17,0.49%,0.31%,"1,817",18,0.44%,0.23%,97.57%,93.75%,4,0,0.28%,0.00%,"$11,999.96",$0.00,4,0
B0CMDR9QV2,B00030A1NI,"Cortland Line 5WF Fishing Line, Peach",403055,187,1,0.06%,0.02%,244,1,0.06%,0.01%,15.12%,0.00%,3,0,1.60%,0.00%,$194.89,$0.00,3,0
B01M32JL6Q,B001NZK2KO,"Cortland Line WF7I Small Game Fishing Line, Clear/Camo",470392,40,1,0.01%,0.02%,57,1,0.01%,0.01%,59.62%,100.00%,4,0,10.00%,0.00%,$279.76,$0.00,3,0
B084LMGV9P,B005W3CNXC,"Carlisle Magic Plus Kayak Paddle with Polypropylene Blades and Wrapped Fiberglass Shaft, 230cm - Black Cherry",01.2509.3905-FBA,127,5,0.04%,0.09%,162,7,0.04%,0.09%,93.85%,83.33%,3,1,2.36%,20.00%,$374.97,$124.99,3,1
B07KSTGLPK,B00B2VJKBQ,"Redington Behemoth Fly Fishing Reel, Multipurpose Fly Reel for Freshwater and Saltwater, Large Arbor and Adjustable Drag, Bronze, 7/8",5-5506R78Z,606,11,0.20%,0.20%,795,15,0.19%,0.19%,9.33%,45.45%,3,1,0.50%,9.09%,$359.96,$114.99,3,1
B00B2VJS2W,B00B2VJS2W,Redington Run Fly Reel 5-6 Weight,5-5512R5604,294,7,0.10%,0.13%,350,8,0.08%,0.10%,71.43%,87.50%,3,0,1.02%,0.00%,$359.97,$0.00,3,0
B07KSTGLPK,B00B2WMNQO,"Redington Behemoth Fly Fishing Reel, Multipurpose Fly Reel for Freshwater and Saltwater, Large Arbor and Adjustable Drag, Bronze, 11/12",5-5506R1112Z,231,5,0.08%,0.09%,307,6,0.07%,0.08%,23.14%,80.00%,3,0,1.30%,0.00%,$419.97,$0.00,3,0
B00CP2403Y,B00CP2403Y,Hobie Rectangular Bucket,71709002,38,0,0.01%,0.00%,44,0,0.01%,0.00%,27.27%,0.00%,3,0,7.89%,0.00%,$110.97,$0.00,3,0
B0176UC0JA,B0176UC0JA,Maxell Hybrid Conventional Star Drag Jigging Reel HY20-S SILVER,HY20-SG,91,0,0.03%,0.00%,122,0,0.03%,0.00%,63.93%,0.00%,3,0,3.30%,0.00%,"$1,020.00",$0.00,3,0
B01BW6AZ32,B01BW6AZ32,Hobie H-Crate Tie Down Straps 2017 - 72020284,72020284,207,2,0.07%,0.04%,310,2,0.07%,0.03%,33.87%,50.00%,8,0,3.86%,0.00%,$170.92,$0.00,3,0
B01N967JUG,B01JH8FHOO,"Daiwa BG4500 BG Saltwater Spinning Reel, 4500, 5.7: 1 Gear Ratio, 6+1 Bearings, 43.10"" Retrieve Rate, 22 lb Max Drag, Black/gold",BG4500,"4,313",72,1.45%,1.30%,"5,513",92,1.33%,1.19%,0.00%,0.00%,3,0,0.07%,0.00%,$447.99,$0.00,3,0
B074MJKXMT,B074MJ6J9X,Cortland Line Ultra Premium Fluorocarbon 30YD Tippet | 4X - 8.4LB | Clear,645349,68,1,0.02%,0.02%,79,1,0.02%,0.01%,35.29%,0.00%,4,0,5.88%,0.00%,$76.60,$0.00,3,0
B074MJKXMT,B074MJ77PK,Cortland Line Ultra Premium Fluorocarbon 30YD Tippet | 5X - 5.7LB | Clear,645356,100,3,0.03%,0.05%,142,4,0.03%,0.05%,29.57%,0.00%,3,0,3.00%,0.00%,$57.45,$0.00,3,0
B08NBD8J7Z,B07F2L8JZH,"Old Town Solitude Men's Life Jacket (Black, S/M)",01.1332.9010,173,2,0.06%,0.04%,312,4,0.08%,0.05%,98.62%,100.00%,3,0,1.73%,0.00%,$285.89,$0.00,3,0
B08NB4RRFQ,B07F2M2WKK,"Old Town Solitude Men's Life Jacket (Red, S/M)",01.1332.9013,91,1,0.03%,0.02%,122,1,0.03%,0.01%,95.28%,100.00%,4,0,4.40%,0.00%,$362.92,$0.00,3,0
B0BLRQ8CKK,B07M5HTH5N,NRS Chinook OS Fishing Lifejacket (PFD)-Red-L/XL,40071.01.103,853,28,0.29%,0.51%,"1,066",35,0.26%,0.45%,17.05%,7.69%,3,0,0.35%,0.00%,$509.83,$0.00,3,0
B07N7Y7Y3Q,B07N7Y7Y3Q,Tsunami Trophy II TSTIISS-1202H Spinning Surf Rod,TSTIISS-1202H,139,3,0.05%,0.05%,208,4,0.05%,0.05%,54.81%,75.00%,3,0,2.16%,0.00%,$419.85,$0.00,3,0
B07ND4N6GM,B07ND4N6GM,Tsunami TSEVT5000 Evict Spinning Reel 30lb 300yd,TSEVT5000,330,5,0.11%,0.09%,395,6,0.10%,0.08%,21.52%,66.67%,3,0,0.91%,0.00%,$598.98,$0.00,3,0
B07ND5YCMX,B07ND5YCMX,Tsunami TSEVT4000 Evict Spinning Reel 20lb 260yd,TSEVT4000,602,8,0.20%,0.14%,781,10,0.19%,0.13%,26.89%,30.00%,3,0,0.50%,0.00%,$509.90,$0.00,3,0
B07PXBTVZ4,B07PXBTVZ4,Hobie Bimini - Gray,72020521,174,3,0.06%,0.05%,252,6,0.06%,0.08%,79.76%,100.00%,3,0,1.72%,0.00%,$729.00,$0.00,3,0
B07QFC27JK,B07QFC27JK,Tsunami Carbon Shield II TSCSHDII761M Spinning Rod,TSCSHDII761M,554,3,0.19%,0.05%,765,9,0.18%,0.12%,37.12%,22.22%,3,0,0.54%,0.00%,$389.96,$0.00,3,0
B07VCN2W73,B07VCN2W73,Daiwa Fishing Reel Lexa 300 Hd Baitcasting Reel 6 Crbb,LX-HD300HSL-P,884,18,0.30%,0.33%,"1,232",30,0.30%,0.39%,31.36%,30.00%,3,0,0.34%,0.00%,$809.94,$0.00,3,0
B084L4X7BK,B07X2781D3,"Nomad Design Madmacs Offshore High Speed Fishing Lure, Trolling Minnow, with Super Strong BKK Hooks and Heavy Duty Split Rings, Autotune System, 200mm/8 Sinking - Phantom",MADMACS200-PHT-MFN,659,14,0.22%,0.25%,832,15,0.20%,0.19%,15.01%,20.00%,3,0,0.46%,0.00%,$149.82,$0.00,3,0
B082MR8WY4,B07XD33VKK,NRS Clearwater Kayak Lifejacket (PFD)-Blue-XS/M,40007.04.100,120,2,0.04%,0.04%,145,2,0.04%,0.03%,4.67%,0.00%,3,0,2.50%,0.00%,$381.94,$0.00,3,0
B083S8C2GT,B083S8C2GT,YakAttack PanFish Portrait Pro Camera Mount (CMS-1001),CMS-1001-U,"1,127",16,0.38%,0.29%,"1,665",23,0.40%,0.30%,0.00%,0.00%,3,1,0.27%,6.25%,$120.00,$40.00,3,1
B084HNYCTF,B084HNYCTF,"Tsunami Carbon Shield II TSCSHDBCII701XH-B 7' 0"" Rod",TSCSHDBCII701XH-B,356,5,0.12%,0.09%,510,11,0.12%,0.14%,96.27%,90.91%,4,0,1.12%,0.00%,$599.96,$0.00,3,0
B084LMGV9P,B084KHY7F1,"Carlisle Magic Plus Kayak Paddle with Polypropylene Blades and Wrapped Fiberglass Shaft, 230cm - Photic",01.2509.3936-FBA,50,0,0.02%,0.00%,64,0,0.02%,0.00%,58.18%,0.00%,3,0,6.00%,0.00%,$374.97,$0.00,3,0
B084LMSJXZ,B084KN9QNM,"Carlisle Paddles Magic Mystic Kayak Paddle with Polypropylene Blades and Aluminum Shaft, 220cm -Seaglass",01.2509.4034-FBA,101,2,0.03%,0.04%,145,3,0.04%,0.04%,92.23%,100.00%,3,0,2.97%,0.00%,$160.71,$0.00,3,0
B084LMGV9P,B084KQ5KMF,"Carlisle Magic Plus Kayak Paddle with Polypropylene Blades and Wrapped Fiberglass Shaft, 230cm - Seaglass",01.2509.3931-FBM,165,2,0.06%,0.04%,216,2,0.05%,0.03%,44.89%,0.00%,3,0,1.82%,0.00%,$374.95,$0.00,3,0
B0869VKYT2,B085JK7D4M,Old Town Sportsman PDL 120 Pedal Fishing Kayak (Ember Camo),01.4071.0103,"8,254",118,2.77%,2.13%,"12,245",167,2.96%,2.16%,0.00%,0.00%,3,0,0.04%,0.00%,"$8,699.97",$0.00,3,0
B08CY7PVC3,B08666NC74,Shimano Inc. SPEEDMASTER II 20,SPM20II,898,19,0.30%,0.34%,"1,120",24,0.27%,0.31%,18.55%,47.37%,4,0,0.45%,0.00%,"$1,359.76",$0.00,3,0
B08B2TNS7S,B08B43PJ6F,"Rio Premier Gold Fly Line, Easy to Cast Flies from Size 2 to 22, Ultimate All-Around Fly Line with Ultra-Slick Performance, Orange, 90ft, WF6F",6-19244,165,5,0.06%,0.09%,196,5,0.05%,0.06%,10.00%,50.00%,3,1,1.82%,20.00%,$284.92,$84.99,3,1
B08B672CLV,B08B672CLV,Woais Redington Run Fly Reel S20-3/4wt - Burgundy,5-5512R3403,79,3,0.03%,0.05%,93,3,0.02%,0.04%,76.34%,100.00%,3,0,3.80%,0.00%,$359.97,$0.00,3,0
B09M9BNYYH,B09M9BNYYH,Van Staal VR75 Bailed Series Spinning Reel Silver,VR75,779,33,0.26%,0.60%,"1,038",42,0.25%,0.54%,29.96%,35.71%,3,0,0.39%,0.00%,"$1,559.83",$0.00,3,0
B09P8WS671,B09P8WS671,Shimano Inc. Sustain C5000XG FJ,SAC5000XGFJ,735,12,0.25%,0.22%,998,15,0.24%,0.19%,19.24%,33.33%,4,1,0.54%,8.33%,"$1,319.92",$329.98,3,1
B09X1XZTLP,B09X1ZCXLG,Cortland Striped Bass Sink 8 Fly Line WF9S/I,476097,8,1,0.00%,0.02%,16,1,0.00%,0.01%,92.31%,100.00%,3,0,37.50%,0.00%,$299.83,$0.00,3,0
B09X1XZTLP,B09X28SJ37,Cortland Striped Bass Sink 8 Fly Line WF8S/I,476080,15,1,0.01%,0.02%,16,1,0.00%,0.01%,100.00%,0.00%,3,1,20.00%,100.00%,$299.85,$99.95,3,1
