(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B09RKQGKJM,B07X8RHBGV,"Nomad Design DTX Minnow with Patented Autotune System-Distressed Baitfish Swimming Action, Hydrospeed Belly Eyelet Faster Trolling, BKK Diablo 5X Singles 13/0 Hooks, 220 SNK 9, 50ft, Spanish Mackerel",DTX220-S-SM,320,6,0.11%,0.11%,422,7,0.10%,0.09%,75.92%,75.00%,28,1,8.75%,16.67%,"$1,331.57",$47.95,28,1
B084L4X7BK,B07X59L1R1,"Nomad Design Madmacs Offshore High Speed Fishing Lure, Trolling Minnow, with Super Strong BKK Hooks and Heavy Duty Split Rings, Autotune System, 240mm/10 Sinking - Spanish Mackerel",MADMACS240-SM,333,8,0.11%,0.14%,415,8,0.10%,0.10%,94.89%,100.00%,28,0,8.41%,0.00%,"$1,177.09",$0.00,27,0
B09RKQGKJM,B08R5MPL66,"Nomad Design DTX Minnow with Patented Autotune System-Distressed Baitfish Swimming Action, Hydrospeed Belly Eyelet Faster Trolling, BKK Diablo 5X Singles 13/0 Hooks, 220 SNK 9, 50ft, Hot Pink Glow",DTX220-S-HPG,539,12,0.18%,0.22%,640,12,0.15%,0.16%,78.53%,85.71%,28,0,5.19%,0.00%,"$1,370.04",$0.00,27,0
B08WYVSZNF,B08WYVSZNF,Boonedox Groovy Landing Gear Track Kit Adjustable Kayak Wheel Cart,BDX-GLGTRK,"1,135",14,0.38%,0.25%,"1,639",19,0.40%,0.25%,97.19%,89.47%,26,1,2.29%,7.14%,"$7,988.70",$309.95,26,1
B084L4X7BK,B07X13CMX7,"Nomad Design Madmacs Offshore High Speed Fishing Lure, Trolling Minnow, with Super Strong BKK Hooks and Heavy Duty Split Rings, Autotune System, 200mm/8 Sinking - Spanish Mackerel",MADMACS200-SM,563,13,0.19%,0.24%,655,16,0.16%,0.21%,74.21%,50.00%,27,0,4.80%,0.00%,"$1,272.78",$0.00,24,0
B084L4X7BK,B07X13DN4D,"Nomad Design Madmacs Offshore High Speed Fishing Lure, Trolling Minnow, with Super Strong BKK Hooks and Heavy Duty Split Rings, Autotune System, 200mm/8 Sinking - Nuclear Coral Trout",MADMACS200-NCT,663,15,0.22%,0.27%,796,17,0.19%,0.22%,86.63%,81.82%,23,0,3.47%,0.00%,$961.64,$0.00,23,0
B084L4X7BK,B07X5CQ8DB,"Nomad Design Madmacs Offshore High Speed Fishing Lure, Trolling Minnow, with Super Strong BKK Hooks and Heavy Duty Split Rings, Autotune System, 240mm/10 Sinking, Hot Pink Mackerel",MADMACS240-HPM,577,14,0.19%,0.25%,708,15,0.17%,0.19%,66.97%,100.00%,30,0,5.20%,0.00%,"$1,797.48",$0.00,23,0
B0CC6CPXQM,B0CC69Z4R5,STRADIC C3000XG FM,STC3000XGFM,"1,516",22,0.51%,0.40%,"2,032",25,0.49%,0.32%,20.12%,5.00%,23,0,1.52%,0.00%,"$5,038.98",$0.00,23,0
B0CC6CPXQM,B0CC6DCLQD,STRADIC C5000XG FM,STC5000XGFM,"2,368",54,0.79%,0.98%,"3,206",71,0.77%,0.92%,29.77%,43.08%,28,1,1.18%,1.85%,"$6,438.52",$229.94,23,1
B07YQ8C5Z5,B07YQ8C5Z5,Hobie Caution Flag Red,MK0046,205,2,0.07%,0.04%,259,3,0.06%,0.04%,90.73%,66.67%,25,1,12.20%,50.00%,$169.75,$6.79,22,1
B09RKQGKJM,B08R5QM91K,"Nomad Design DTX Minnow with Patented Autotune System - Distressed Baitfish Swimming Action, Hydrospeed Belly Eyelet for Faster Trolling, BKK Diablo 5X Singles 13/0 Hooks, 220 SNK 9, 50ft, Wahooligan",DTX220-S-WHOO,468,16,0.16%,0.29%,594,20,0.14%,0.26%,37.59%,40.00%,25,0,5.34%,0.00%,"$1,240.65",$0.00,21,0
